PubMed_ID,Title,Abstract,Label
40118944,Explaining facial action units' correlation with hypomimia and clinical scores in Parkinson's disease.,"This study aimed to identify facial regions characterizing hypomimia through facial action units (AU). It included video recordings from 109 early-stage Parkinson's disease (PD) and 45 healthy control (HC) subjects, performing rapid syllable repetitions. We identified the features contributing most to hypomimia by interpreting an XGBoost model classifying PD vs. HC. We evaluated the impact of biological sex and time on features and classification, and the correlation between model's predictions, AUs, and PD clinical scores over different times. The most discriminant AUs of hypomimia were found on the face lower part, independent of sex, and stable over time. Significant correlations were observed between AU17 (chin raiser) and rigidity of the upper left limb (r = - 0.4), as well as between AU9 (nose wrinkle) and neck rigidity (r = - 0.36). Correlations between XGBoost predictions and MDS-UPDRS3 and neck rigidity scores were also significant (r = 0.3). We obtained for PD detection an AUC of 79.8% and a balanced accuracy of 71.5%.",1
40117607,Dermatological Manifestations and Sebum Composition in Parkinson's Disease.,"Parkinson disease (PD) is a multifaceted neurodegenerative disorder known for its hallmark motor symptoms. However, nonmotor manifestations, specifically dermatological changes, precede motor symptoms and may thus serve as vital early indicators of PD. This article explores the skin-related changes associated with PD, focusing on alterations in sebum composition, microbial dysbiosis, and the potential for leveraging dermatological assessments as early, noninvasive diagnostic markers for PD. A comprehensive literature review was conducted to investigate dermatological manifestations of PD, focusing on sebum changes in affected individuals. Research explored the clinical relevance of altered lipid profiles, volatile organic compound (VOC) contributions, and microbiome dysbiosis in those with PD. Individuals with PD exhibit excess sebum production characterized by altered lipid profiles, including elevated short-chain fatty acids (SCFAs) and disruptions in sphingolipid metabolism. The lipid-rich environment also promotes overgrowth of Malessezia yeast, contributing to varied dermatological symptoms in those with PD. VOCs identified in sebum have been linked to unique odors and serve as biomarkers for diagnostic potential. These findings support the potential for early PD diagnosis through dermatologic assessment and sebum analysis. Dermatological manifestations in PD offer promising noninvasive biomarkers for early diagnosis. Future research should aim to further elucidate the mechanisms underlying sebum dysregulation in PD and validate the clinical relevance of these biomarkers in larger populations.",1
40114198,A reciprocal relationship between markers of genomic DNA damage and alpha-synuclein pathology in dementia with Lewy bodies.,"DNA damage and DNA damage repair (DDR) dysfunction are insults with broad implications for cellular physiology and have been implicated in various neurodegenerative diseases. Alpha-synuclein (aSyn), a pre-synaptic and nuclear protein associated with neurodegenerative disorders known as synucleinopathies, has been associated with DNA double strand break (DSB) repair. However, although nuclear aSyn pathology has been observed in cortical tissue of dementia with Lewy body (DLB) cases, whether such nuclear pathology coincides with the occurrence of DNA damage has not previously been investigated. Moreover, the specific types of DNA damage elevated in DLB cases and the contribution of DNA damage towards Lewy body (LB) formation is unknown. DNA damage and aSyn pathology were assessed in fixed lateral temporal cortex from clinically and neuropathologically confirmed DLB cases and controls, as well as in cortical tissue from young 3-month-old presymptomatic A30P-aSyn mice. Frozen lateral temporal cortex from DLB and control cases was subject to nuclear isolation, western blotting, aSyn seed amplification and proteomic characterisation via mass spectrometry. We detected seed-competent nuclear aSyn, and elevated nuclear serine-129 phosphorylation in DLB temporal cortex, alongside the accumulation of DSBs in neuronal and non-neuronal cellular populations. DNA damage was also present in cortical tissue from presymptomatic A30P mice, demonstrating it is an early insult closely associated with pathogenic aSyn. Strikingly, in postmortem DLB tissue, markers of genomic DNA damage-derived cytoplasmic DNA (CytoDNA) were evident within the majority of LBs examined. The observed cellular pathology was consistent with nuclear upregulation of associated DDR proteins, particularly those involved in base excision repair and DSB repair pathways. Collectively our study demonstrates the accumulation of seed-competent pathological nuclear associated aSyn, alongside nuclear DNA damage and the potential involvement of DNA damage derived cytoDNA species in cytoplasmic aSyn pathology. Ultimately, our study supports the hypothesis of a reciprocal relationship between aSyn pathology and nuclear DNA damage and highlights a potential underlying role for DNA damage in pathological mechanisms relevant to DLB, as well as other synucleinopathies, opening novel possibilities for diagnosis and treatment.",1
40114135,Value of blood biomarkers in the diagnosis of Parkinson's disease: a case-control study from Xinjiang.,"Based on the data of Parkinson's disease patients in Xinjiang, China, to explore the clinical application value of blood biomarkers in diagnosing Parkinson's disease patients. The research subjects were patients with Parkinson's disease who were diagnosed and hospitalized at the Second Affiliated Hospital of Xinjiang Medical University between January 2021 and January 2023 and those who underwent health check-ups at the hospital, 243 and 249 cases were included, respectively, and those who underwent health check-ups were used as a healthy control group of the Parkinson's disease patient group. Significant differences in age, systolic blood pressure, cystatin C, and uric acid distributions were found between healthy controls and Parkinson's patients (P < 0.05), and multivariate analysis showed that there was a correlation between body mass index, uric acid, and Parkinson's disease (P < 0.05), and that those who were overweight or obese, and those who had a low level of uric acid, had a greater probability of suffering from Parkinson's disease (B > 0). There were significant differences in gender, cystatin C, and urea between Parkinson's patients with a disease duration of < 5 years and those with a disease duration of ≥ 5 years (P < 0.05). In multivariate analysis, there was a correlation between gender and duration of Parkinson's disease (P < 0.05), and the duration of the disease was greater in male patients than in females. Uric acid combined with body mass index is informative for early screening of Parkinson's disease.",1
40113192,Basal ganglia connectivity and network asymmetry in Parkinson's disease: A resting-state fMRI study.,"This study investigates the impact of basal ganglia network asymmetry on motor function in Parkinson's Disease (PD). Using resting-state functional magnetic resonance imaging (rs-fMRI), functional connectivity and network asymmetry were analyzed in 15 non-demented PD patients and 15 healthy controls. Sixteen basal ganglia substructures, including the caudate, putamen, and globus pallidus, were selected for a unified analysis of variance framework to evaluate inter-hemispheric connectivity differences. After spatial preprocessing, regions of interest were defined, and time-series data were extracted for functional connectivity and network asymmetry analysis. The results revealed significant alterations in the functional connectivity of the caudate, putamen, and nucleus accumbens (NAc) in PD patients. Notably, the absence of intra-network asymmetry in the left NAc and bilateral amygdala correlated with motor dysfunction, likely due to overactivity of the inhibitory indirect pathway. Furthermore, pronounced asymmetry in the left putamen and right frontal gyrus suggested a compensatory neural mechanism supporting motor performance. These findings highlight the critical role of basal ganglia network asymmetry in the pathophysiology of PD. The identified asymmetry characteristics may serve as potential biomarkers for early diagnosis and disease progression monitoring, offering new directions for targeted therapeutic interventions.",1
40107026,Neuro_DeFused-Net: A novel multi-scale 2DCNN architecture assisted diagnostic model for Parkinson's disease diagnosis using deep feature-level fusion of multi-site multi-modality neuroimaging data.,"Neurological disorders, particularly Parkinson's Disease (PD), are serious and progressive conditions that significantly impact patients' motor functions and overall quality of life. Accurate and timely diagnosis is still crucial, but it is quite challenging. Understanding the changes in the brain linked to PD requires using neuroimaging modalities like magnetic resonance imaging (MRI). Artificial intelligence (AI), particularly deep learning (DL) methods, can potentially improve the precision of diagnosis. In the current study, we present a novel approach that integrates T1-weighted structural MRI and rest-state functional MRI using multi-site-cum-multi-modality neuroimaging data. To maximize the richness of the data, our approach integrates deep feature-level fusion across these modalities. We proposed a custom multi-scale 2D Convolutional Neural Network (CNN) architecture that captures features at different spatial scales, enhancing the model's capacity to learn PD-related complex patterns. With an accuracy of 97.12 %, sensitivity of 97.26 %, F1-Score of 97.63 %, Area Under the Curve (AUC) of 0.99, mean average precision (mAP) of 99.53 %, and Dice Coefficient of 0.97, the proposed Neuro_DeFused-Net diagnostic model performs exceptionally well. These results highlight the model's robust ability to distinguish PD patients from Controls (Normal), even across a variety of datasets and neuroimaging modalities. Our findings demonstrate the transformational ability of AI-driven models to facilitate the early diagnosis of PD. The proposed Neuro_DeFused-Net model enables the rapid detection of health markers through fast analysis of complicated neuroimaging data. Thus, timely intervention and individualized treatment strategies lead to improved patient outcomes and quality of life.",1
40105512,Conjunctival impression cytology and tear film analysis in early-stage Parkinson's disease.,"PurposeWe aimed to evaluate conjunctival impression cytology (CIC) findings, tear parameters, and ocular surface in early-stage Parkinson's patients and compare the results with the control group.MethodsThis cross-sectional comparative study included 49 early-stage Parkinson's Disease (PD) patients and 45 healthy individuals as a control group. Clinical staging of Parkinson's patients was performed according to the Hoehn-Yahr Scale. Those with stages 1 and 2 were defined as early-stage PD. Ocular surface disease index (OSDI) questionnaire, tear breakup time (TBUT), Schirmer test, and CIC were applied to the patient and control groups.ResultsThere was no significant difference between the two groups in terms of mean age and gender (",1
40102162,Comparison of Voice Quality in Persian Parkinson Patients With Healthy Counterparts Using Cepstral Peak Prominence and Cepstral Peak Prominence-Smooth and Their Relationship With Disease Severity (UPDRS-III) and Disease Duration.,"One of the earliest impairments in Parkinson's patients is speech motor dysfunction, which adversely affects the phonation subsystem (voice). To date, acoustic frequency-dependent voice features such as cepstral peak prominence (CPP) and cepstral peak prominence-smooth (CPPS) have not been examined in Persian-speaking Parkinson's patients. This study aims to compare the voice quality of Persian Parkinson's patients with healthy counterparts using CPP and CPPS, as well as to investigate the relationship of these metrics with Unified Parkinson's Disease Rating Scale-Part III (UPDRS-III) and disease duration. This study included 35 Persian Parkinson's patients and 35 healthy individuals. Disease severity was assessed using UPDRS-III. Speech samples (sustained vowel phonation of /ɑ/ and reading of the ""Grandfather Passage"") were recorded by a microphone. CPP and CPPS were extracted by Praat software. The results showed that the mean CPP and CPPS in both tasks were significantly lower in the patient group compared with the healthy group (P value ≤ 0.001). Spearman correlation analysis of CPP and CPPS values in both tasks with disease severity revealed a significant negative correlation between CPP and CPPS and UPDRS-III in both tasks (P value ≤ 0.001). However, no significant correlation was observed between these indices and disease duration in any task (P value ≥ 0.001). These cepstral indices effectively distinguish vocal differences between Persian Parkinson's patients and healthy individuals. Additionally, these indices show a significant association with disease severity, underscoring their potential utility in the early diagnosis and monitoring of Parkinson's disease progression through vocal screening, especially when combined with other medical and neurological evaluations. However, this study found no relationship between disease duration and these indices. The absence of such a correlation may be attributed to the medication regimens of the patients.",1
40101537,Interoception in Parkinson's disease: A narrative review and framework for translational research.,"Parkinson's disease (PD) is the second most common, and the fastest growing, neurodegenerative disease worldwide. Non-motor manifestations, particularly autonomic nervous system dysfunction, are common throughout the disease course, in some cases preceding motor symptom onset by years, and are often more disabling and harder to treat than motor symptoms and contribute significantly to disability. An understudied consequence of autonomic and visceral dysfunction in PD is interoception, the neural processing of internal organ system signals. Interoceptive processes form a foundational body-brain interface, mediating basic homeostatic reflexes and complex physiologic and behavioral adaptive responses to internal perturbations. Emerging evidence exists that interoception is impaired in some individuals with PD, potentially explaining why those who have objective evidence of autonomic dysfunction do not always report typical symptoms. Failure to recognize these impairments may lead to missed opportunities for early intervention, particularly in addressing 'silent' autonomic disturbances (e.g., orthostatic hypotension leading to sudden falls, dysphagia leading to aspiration pneumonia). In this narrative review, we synthesize current findings on the neuroanatomical networks underlying interoception, examine clinical manifestations of interoceptive dysfunction across multiple organ systems in PD, and identify key gaps in knowledge. We propose a translational research framework to enhance early detection, symptom management, and intervention strategies for PD. This framework integrates cognitive, mood, and autonomic dysfunctions with clinical factors (disease stage, duration, motor subtype, levodopa status) to understand interoceptive dysfunction within a translational model. This approach highlights novel opportunities for personalized care and improved therapeutic interventions in PD.",1
40100196,Expert-Level Automated Diagnosis of the Pediatric ECG Using a Deep Neural Network.,"Disparate access to expert pediatric cardiologist care and interpretation of electrocardiograms (ECGs) persists worldwide. Artificial intelligence-enhanced ECG (AI-ECG) has shown promise for automated diagnosis of ECGs in adults but has yet to be explored in the pediatric setting. This study sought to determine whether an AI-ECG model can accurately perform automated diagnosis of pediatric ECGs. This retrospective single-center cohort study included all patients with an ECG at Boston Children's Hospital read by an experienced pediatric cardiologist (≥5,000 reads) between 2000 and 2022. A convolutional neural network was trained (75% of patients) and internally tested (25% of patients) on ECGs to predict ECG diagnoses. The primary outcome was a composite of any ECG abnormality (ie, detecting normal vs abnormal ECG). Secondary outcomes include Wolff-Parkinson-White syndrome (WPW) and prolonged QTc. Model performance was assessed with area under the receiver-operating (AUROC) and precision recall (AUPRC) curves. The main cohort consisted of 201,620 patients (49% male; 11% with known congenital heart disease) and 583,134 ECGs (median age 11.7 years [Q1-Q3: 3.1-16.9 years]; 56% any ECG abnormality, 1.0% WPW, and 5.3% with prolonged QTc). The AI-ECG model outperformed the commercial software interpretations for detecting any abnormality (AUROC 0.94; AUPRC 0.96), WPW (AUROC 0.99; AUPRC 0.88), and prolonged QTc (AUROC 0.96; AUPRC 0.63). During readjudication of ECGs with AI-ECG/original cardiologist read discordance, blinded expert readers were more likely to agree with AI-ECG classification than the original reader to detect any abnormality (P = 0.001), WPW (P = 0.01), and prolonged QTc (P = 0.07). Our model provides expert-level automated diagnosis of the pediatric 12-lead ECG, which may improve access to care.",1
40095345,Exosomes as Biomarkers and Therapeutic Agents in Neurodegenerative Diseases: Current Insights and Future Directions.,"Neurodegenerative diseases (NDs) like Alzheimer's, Parkinson's, and ALS rank among the most challenging global health issues, marked by substantial obstacles in early diagnosis and effective treatment. Current diagnostic techniques frequently demonstrate inadequate sensitivity and specificity, whilst conventional treatment strategies encounter challenges related to restricted bioavailability and insufficient blood-brain barrier (BBB) permeability. Recently, exosomes-nanoscale vesicles packed with proteins, RNAs, and lipids-have emerged as promising agents with the potential to reshape diagnostic and therapeutic approaches to these diseases. Unlike conventional drug carriers, they naturally traverse the BBB and can deliver bioactive molecules to affected neural cells. Their molecular cargo can influence cell signaling, reduce neuroinflammation, and potentially slow neurodegenerative progression. Moreover, exosomes serve as non-invasive biomarkers, enabling early and precise diagnosis while allowing real-time disease monitoring. Additionally, engineered exosomes, loaded with therapeutic molecules, enhance this capability by targeting diseased neurons and overcoming conventional treatment barriers. By offering enhanced specificity, reduced immunogenicity, and an ability to bypass physiological limitations, exosome-based strategies present a transformative advantage over existing diagnostic and therapeutic approaches. This review examines the multifaceted role of exosomes in NDDs, emphasizing their diagnostic capabilities, intrinsic therapeutic functions, and transformative potential as advanced treatment vehicles.",1
